Name,Org,Pos,Current Level,Top 100,Org Rk,Trend,FV,ETA,Risk,Age,Ht,Wt,B,T,Signed,Signed From,Report,Video,playerId
"Tahnaj Thomas","PIT","RHP","R",,12,,"40+",2023,"High","20.9861111","6' 4""","190","R","R","2016 J2 (CLE)","Bahamas","Newly acquired from Cleveland as part of the Erik Gonzalez/Jordan Loplow trade, Thomas immediately becomes the most athletic, projectable pitcher in this system. A converted shortstop, he has very little on-mound experience and yet his stuff, feel for location, and breaking ball release are already pretty advanced. His fastball and curveball project to plus pretty easily, and his arm speed/action are promising as far as changeup projection is concerned. His delivery resembles that of Triston McKenzie and it creates a tough-to-squaure, flat angle up in the zone that should allow Thomas to miss bats with his fastball. 
He projects as a league-average starter for now, but there's also massive ceiling here because of the athleticism, and the fact that Thomas is so new to pitching that he may just be scratching the surface.","KvPrGPYdZ9g","sa3003066"
"Julio Carreras","COL","SS","R",,12,,"40+",2023,"High","20.4138888","6' 1""","166","R","R","2017 J2 (COL)","Dominican Republic","Carreras' swing needs work. His stride and bat path both have problems, but he swings hard and has promising hand-eye coordination and bat control despite his current issues. Additionally, Carreras has a lean, projectable frame, he's a plus runner and athletic infield defender who already has experience at multiple positions, and he has above-average bat speed. Some of the mechanical components in the batters box will need to improve, but the raw material here is exciting. Most players this age are older high school or junior college draft prospects. Measured against amateur players his age, Carreras would probably go in the top 50 picks.","OAZuNp1lPZ8","sa3005598"
"Diego Cartaya","LAD","C",,,11,,"40+",2023,"High","17.6","6' 2""","200","R","R","2018 J2 (LAD)","Venezuela","This is a very physical teenager with some of the best present raw power in his signing class and a good chance to play a premium defensive position at catcher. Cartaya has a strong, physically mature build that inspires Salvador Perez comparisons. He has excellent lateral mobility despite his size, and his receiving was alright, but not great, when he caught pro-quality stuff at showcases. 
He checks all the other beloved catcher skillset boxes: Cartaya is poised and engaged with his pitchers, he has a great arm, he looks built to meet the position's physical demands, and makes an attempt to frame pitches when he can. There's a chance he outgrows the position but he's deceptively athletic for his size, and we'd call it unlikely. There's not as much room for power projection here as there is for most others this age, but there's enough to profile at catcher. Cartaya's approach is geared for well-timed, pull-side gap contact. He's a potential regular who'll likely spend his first pro season in Arizona, as he's too physical for the DSL.","c-LTwTIlv7s",
"Dennis Santana","LAD","RHP","MLB",,12,,"40+",2019,"Med","23","6' 2""","160","R","R","2012 J2 (LAD)","Dominican Republic","A conversion arm whose command took a significant step forward in 2017, his fourth year devoted to pitching, Santana made his major league debut in 2018 before succumbing to a rotator cuff injury for the rest of the season. He began 2019 in the bullpen, throwing about 45 pitches per outing, but his last two appearances were starts. 
His changeup and command have developed enough to consider him a long-term starter but the power curveball, which suffered a stark downtick in spin rate before he was shut down last year, is his best pitch. The shoulder stuff, a short stride, and early-season deployment in the bullpen have us somewhat concerned about Santana's long term health and role, but on stuff he's a potential No. 4 starter.",,"17878"
"Connor Wong","LAD","C","AA",,13,,"40+",2020,"High","22.9","6' 1""","180","R","R","2017 Draft Rnd 3 (LAD)","Houston","An athletic, multi-positional player who spent his early college career at shortstop, Wong now sees time behind the plate, as he did throughout most of college, and at second and third base. Like most of the hitters in this org, he hits the ball in the air a lot and strikes out at a concerning rate. That, along with a few defensive flaws that may still be corrected with time, especially as he learns to handle upper-level stuff in the dirt, probably limit Wong to a unique kind of utility role or a backup catcher and infielder role similar to Austin Barnes', which is a bit better than just a flat 40 FV prospect.",,"sa873978"
"Jacob Amaya","LAD","SS","A+",,14,,"40+",2022,"Med","20.7","6' 0""","180","R","R","2017 Draft Rnd 11 (LAD)","South Hills HS (CA)","A $250,000 11th rounder from a high school east of Los Angeles, Amaya is a diminutive infielder with excellent secondary skills and sneaky power for his size. Though not especially rangy at shortstop, Amaya has plus hands and actions and enough arm strength to stay on the left side of the infield. A lack of power and physical projection makes him appear, on the surface, like he'll max out as a utility guy, but he makes up some offensive ground because his eye for the strike zone is so good. Instinctive and fundamentally sound, even if Amaya is only a utility type, his chances of getting there are high, and if his secondary skills hold water into the upper levels of the minors perhaps he'll be more than that.",,"sa3005081"
"Jeren Kendall","LAD","CF","A+",,15,,"40+",2021,"High","23.2","6' 0""","190","L","R","2017 Draft Rnd 1 (LAD)","Vanderbilt","Wielding uncommon tools for a college prospect, perhaps the most explosive since George Springer was at UConn, Kendall was on the short list of 2017 1-1 candidates when his college season began. Then he didn't hit during his junior year and slid toward the back half of the first round, where the Dodgers couldn't pass on his tools. Badly in need of a swing change, Kendall's cut still isn't quite dialed in and he's struggling to make contact at Hi-A. He's a high-risk, high-variance prospect, the kind who might have a 4 WAR season in him because of the power and speed, but not be playable at other times. 2019 is a big year for Kendall and his stock, and it is off to an inauspicious start.","r2TAFjALtKw","sa829529"
"Jake Burger","CHW","3B","A",,12,,"40+",2021,"High","24.1694444","6' 2""","210","R","R","2017 Draft Rnd 1 (CHW)","Missouri State","Thick and tightly wound, Burger was already a tenuous bet to stay at third base for very long before he twice ruptured his Achilles tendon, once during a spring training game and again while rehabbing in late May. The 12 month timetable for return from Achilles tears was reset, and puts Burger on track to come back sometime in June. While there are questions about his defense, Burger was one of the top college bats in the 2017 class. He has quick, explosive hands that generate big bat speed, and he has unusual bat control for someone who swings as hard as he does. He has sizable ceiling, especially if he can find a way to stay at third base, but we just won't know what kind of toll the injuries have taken until Burger starts playing games again. He's a good bet to see time in the 2019 Arizona Fall League.","s3XP82oUmfQ","sa915698"
"Steele Walker","CHW","LF","A+",,13,,"40+",2022,"Med","23.8638888","5' 11""","190","L","L","2018 Draft Rnd 2 (CHW)","Oklahoma","It's rare for there to be a college hitter with this kind of scintillating, violent bat speed, let alone one who's overshadowed by an even toolsier teammate the way Walker was by Kyler Murray. Perhaps it was concerns about strikeouts, or the vague and mysterious injury bug that bit Walker during the Big 12 tournament, that caused him to fall out of the first round despite hitting .352/.441/.606 in a large conference. He's an athletic swinger with a natural uppercut swing that seemed likely to help him lift the ball regularly, and the little bit of batted ball data we have from after Walker signed suggests that notion is correct. We're doubtful that he stays in center field long term, but it's hard to say that definitively because Walker lost reps there to Murray in college, and may yet develop better feel. He's likely a big league regular if he can either stay in center or avoid perilously high strikeout rates, a star if he does both, and a corner platoon bat if he does neither.",,"sa3008306"
"Noelvi Marte","SEA","SS",,,10,,"40+",2023,"Med","18.6527777","6' 1""","180","R","R","2018 J2 (SEA)","Dominican Republic","Marte, who signed for $1.5 million last July, was one of the more exciting power hitters in the class. For the second straight year, the Mariners' top international signee was a strong-bodied prospect more physically mature than the typical teenager. With broad, tapered shoulders and a sizable lower half, he body comps to Jonathan Schoop and like Schoop, he projects to move off of shortstop at some point. His size prohibits projection at the position on its own, and Marte's hands were also inconsistent as an amateur; some international scouts thought he might move to the outfield. 
But Marte has the thunderous, pull-side power to profile just about anywhere, especially if he can stay on the dirt. He should end up with plus raw power at peak, perhaps more. He has a long, slow leg kick that doesn't add much to his swing efficacy right now, as most of Marte's power comes from pure hand speed and strength, but that will likely improve with reps. He's a volatile, exciting young prospect who may be on the Julio Rodriguez development track, which would mean we likely won't see him play much in the U.S. until 2020.","24XWJlBKDh0",
"Cal Raleigh","SEA","C","AA",,11,,"40+",2021,"Med","23.5416666","6' 3""","225","R","R","2018 Draft Rnd 3 (SEA)","Florida State","Raleigh switched his college commitment from Clemson to Florida State late when the Clemson head coach was fired after the season, freeing up signees to move. One other Clemson signee, current Royals right-handed pitcher Jackson Kowar, switched to Florida and cost the Tigers two solid three-year contributors. Raleigh had a big bonus number out of high school and was well-rounded, but had enough questions that clubs didn't feel comfortable going well past the $1 million mark. 
At Florida State, he developed skills that work best in today's game: he's not seen as a lock to stick at a catcher but has above average arm strength to work with and is a plus framer according to some clubs' metrics. He's seen as a below average hit, above average power type at the plate and with the sorry state of big league catching, that adds up to a regular if things continue developing in this way. We've heard of at least two other clubs that attempted to get Raleigh to their pick in the draft for an overslot bonus when Seattle stepped in and ruined those plans -- the best way to confirm that a player has industry trade value -- so we've moved him up just a bit since our draft day 40 FV grade.",,"sa3008377"
"Erik Swanson","SEA","RHP","MLB",,12,,"40+",2019,"Low","26.7694444","6' 3""","235","R","R","2014 Draft Rnd 8 (TEX)","Iowa Western JC (IA)","Swanson's fastball exhibits several of the nuanced traits that aid velocity in missing bats. For one, his heater has a 12:30 spin axis, which means it has nearly perfect backspin, better enabling fastball rise. It also has an approach angle that plays well at the top of the strike zone, which, in combination with the rise and velocity, makes it the archetypal modern fastball. His secondary stuff is quite average but as long as he is locating his mid-80s slider and changeup -- something he has struggled with in his big league appearances this spring -- he should at least be a good backend starter or multi-inning reliever, and it's possible the secondary fastball characteristics are so strong that we're underselling him a little bit.","9-gldlB-QhQ","16587"
"Sam Carlson","SEA","RHP","A",,13,,"40+",2022,"High","21.5222222","6' 4""","195","R","R","2017 Draft Rnd 2 (SEA)","Burnsville HS (MN)","Carlson has thrown just three pro innings since signing, as the minor flexor strain that shelved him after his draft turned out to be a prelude to surgery. He was given a PRP injection in an attempt to avoid Tommy John, but it was unsuccessful and he was operated on in early July of 2018. The timing of the surgery may keep Carlson out for all of 2019. When he finally returns, he'll be a 21-year-old with less developmental polish than a lot of teenage prospects from year-round baseball areas like Florida and Texas, as a former two-way, cold-weather high schooler who will have missed about 30 consecutive months of reps. 
The summer before his senior year, Carlson was 88-92 with better command and changeup feel than is typical for a northern prep arm. His velocity ticked up the following spring and he was touching 96, then sat 92-95 in his few pro innings before his injury. If his stuff comes back, he has No. 4 starter upside.","PK5O-3F8YyM","sa3005015"
"Zac Gallen","MIA","RHP","MLB",,12,,"40+",2019,"Low","24.8555555","6' 1""","185","R","R","2016 Draft Rnd 3 (STL)","North Carolina","Viewed as a low-ceiling pitchability arm in college, Gallen reached Double-A just one calendar year after he was drafted by St. Louis, which traded him to Miami in the Marcel Ozuna deal the following winter. Last year he experienced an uptick in velocity and his four-seamer now sits in the low-90s and touches 94. It helped Gallen miss more bats, and he struck out a batter per inning at Triple-A New Orleans. Realistically, Gallen will pitch at the back of a rotation as a No. 4 or 5 starter because nothing he throws is plus and it's hard to envision him striking out many major league hitters. But if the velo bump last year was just the start of a trend that continues into the future, there might be a bit more here.",,"19291"
"Edward Cabrera","MIA","RHP",,,13,,"40+",2021,"High","22.1611111","6' 4""","175","R","R","2015 J2 (MIA)","Dominican Republic","Cabrera has prototypical size and arm strength but is almost exactly the same player we wrote up last offseason. He still has issues locating his heater and with his breaking ball's consistency, though it flashes plus. Because he has two unteachable skills in his elite velocity and ability to spin, Cabrera has significant upside if he improves the remaining aspects of his craft. He's not likely to fully actualize, but it is possible. There's a greater chance that some things improve and enable Cabrera to be a No. 4 or 5 starter or late-inning reliever. ",,"sa920423"
"Junior Sanquintin","CLE","SS",,,13,,"40+",2023,"Med","17.2","6' 0""","180","S","R","2018 J2 (CLE)","Dominican","Cleveland has done a remarkable job of finding international prospects with both advanced bat-to-ball skills and interesting physicality. The stocky, 6-foot-1 Sanquintin is the latest. Scouts don't typically project bodies like this to stay at short but Sanquintin's explosive first step allays some of those concerns. His hands are fine, he has a strong arm, and we think he has a good chance to stick at short. 
Sanquintin had one of the more advanced bats in his international class and has some present pop due to his physicality, with room for a little more. He has much better feel to hit from the right side of the plate but there's enticing lift and whip from both sides. He has the tools of a switch-hitting shortstop with power assuming the left-handed bat control improves with time.","I0cN4L2seo0",
"Gabriel Rodriguez","CLE","SS",,,14,,"40+",2023,"Med","17.1","6' 2""","175","R","R","2018 J2 (CLE)","Venezuela","He didn't put on much of a show during MLB's big winter showcase but as we approach extended spring, there's palpable buzz surrounding Rodriguez, who signed for about $2 million last July. Though heavy-footed when Kiley saw him last February, Rodriguez has good infield hands and actions, and is a good bet to stay on the middle infield. He has mature feel for contact but his swing is currently pretty conservative, and Rodriguez likely won't hit for power without an approach or mechanical adjustment. He's a bat-first shortstop prospect and could soon be where Tyler Freeman is on this list.","JQBYAlGbKIw",
"Ethan Hankins","CLE","RHP","A",,15,,"40+",2023,"High","18.9","6' 6""","200","R","R","2018 Draft Rnd 1 (CLE)","Forsyth Central HS (GA)","Hankins was the consensus top prep arm in the class during his pre-draft summer and was a dominant part of Team USA in the fall. At that point, Hankins was commanding a lively 93-96 mph heater, a new, but already plus slider, and an at least average changeup that he didn't need to use much. He looked a little rusty early during his senior spring, then walked off the mound with tightness in a shoulder muscle tied behind the joint. He returned over a month later and threw hard down the stretch, peaking at 97 mph in multiple open workouts for scouts after his school was eliminated from the playoffs. 
He still hasn't shown the promise from the summer, as he's completely lost feel for his slider. He only threw the pitch in games last spring a handful of times and scouts speculated it made his arm hurt, but he threw it in some of the postseason workouts and simply had no feel for it anymore. At various points Hankins has utilized either a slider or curveball, and each looks good a few times a start but not often enough to project it as an impact pitch. He was noticeably thicker during the 2018 summer and continued having issues throwing quality breaking balls. Once a likely top 10 pick, he's now a bounce back hopeful.","UxRnkfMPC7g","sa3008589"
"Freddy Tarnok","ATL","RHP","A+",,15,,"40+",2022,"High","21.5472222","6' 3""","185","R","R","2017 Draft Rnd 3 (ATL)","Riverview HS (FL)","Tarnok was primarily a hitter in high school, and many teams didn't take him seriously as a pitcher or even see him multiple times until late in the spring. The Braves were the team highest on him, and talked him into giving pitching a shot full-time with a well-over-slot bonus. Tarnok is, as expected, still raw, but it's easy to see what Braves scouts were so excited about: he has near-ideal body and arm action along with standout arm strength, athleticism, and ability to spin the ball. The finer points of pitching, how to mix all of his pitches, and dialing in the repetition of his delivery are still variables, all stemming from his lack of innings. He's a popular pick to be the breakout prospect in the system and has among its highest ceilings if it all comes together.","n5hQB8FZnIU","sa3005175"
"Alex Jackson","ATL","C",,,16,,"40+",2020,"Med","24.4611111","6' 2""","220","R","R","2014 Draft Rnd 1 (SEA)","Rancho Bernardo HS (CA)","Jackson was selected sixth overall out of a SoCal high school in 2014, and was among the most celebrated prep bats of all time. He ranked at the top of his class for three years and was projected to move from catcher to right field because of his prodigious talent at the plate, like Bryce Harper and Wil Myers before him. He had a tough pro debut with unlucky injuries, streaky hitting, and poor coaching, which he responded poorly to in turn, bristling at the criticism that came with not meeting expectations. Jackson was traded to the Braves, who moved him back behind the plate in an attempt to build some value since his bat no longer profiled as the 6 hit/6 power that was projected out of high school. He made great strides as a catcher in 2018 and now looks likely to be an average-or-close-to-it receiver with a plus arm and plus plus raw power. He's gotten much bigger since high school and isn't a runner, and his lessened twitch quickness also makes him more of a mistake hitter at the plate. Jackson being near MLB-ready and given the current state of catching, he could be a 90 wRC+ hitter and fringe-to-average receiver and have a long career. There's a chance for more, but expectations have settled right around there.","HIPG1LxMnlQ","17276"
"Jhon Torres","STL","RF","R",,6,,"40+",2023,"High","20.2","6' 4""","200","R","R","2016 J2 (CLE)","Colombia","For the first time in 2018, the Cardinals deployed scouts dedicated to the lowest levels of the minor leagues and it netted them one of the more explosive physical specimens on last year's desert backfields. Traded in a prospect-for-prospect deadline deal that sent one of the Cardinals' many upper-level outfielders, Oscar Mercado, to Cleveland, Torres dominated rookie ball on either side of the deal and slashed .321/.409/.525 combined in the AZL and GCL. Built like a Division I tight end, Torres' body is a baseball rarity, and he still has growth potential from both a physical and mechanical perspective. Torres doesn't always transfer his weight effectively and his swing can be bottom hand-heavy, but it has a workable foundation and he has the requisite bat speed, strength and hand-eye coordination to hit and hit for power. At maturity, he could be a 6-foot-5, 230 pound power-hitting force in the middle of a lineup.","3I-QOd9oNcA","sa3003233"
"Elehuris Montero","STL","3B",,,7,,"40+",2021,"High","21.8166666","6' 3""","195","R","R","2015 J2 (STL)","Dominican Republic","Montero's strong initial foray into full-season ball -- .322/.381/.529 with 46 extra-base hits in 103 games -- was his second straight year of on-paper success, and he was still just 19 when the Cardinals promoted him to Hi-A Palm Beach for the season's final month. Montero is a scaled-down version of Miguel Sano. His swing is mechanically similar and he, too, has a power-driven profile undercut by a thick frame that may not stay at third base despite plenty of arm. Montero's raw power and natural feel for lifting the basebal in the air may not be statistically evident next season due to Palm Beach's hitting environment, so don't worry if he's not posting a huge SLG% next year. Focus should instead be on Montero's approach (which is a little aggressive for some) and how mobile he's able to stay. So long as one of those two attributes pan out, Montero will likely be a good big leaguer. If both do, he could be a 3-plus WAR entity.  "," ","sa872477"
"Ryan Helsley","STL","RHP","MLB",,8,,"40+",2019,"Med","25.8972222","6' 1""","195","R","R","2015 Draft Rnd 5 (STL)","Northeastern State","Helsley, who is of Cherokee heritage, likely would have reached the majors in 2018 had he not been sidelined with shoulder fatigue in early-June. The injury effectively ended his season, as he was up for one August rehab appearance and then shut down again for the rest of the year. The exact nature of the injury is unknown and it's not clear if Helsley will be ready for the start of spring training. When healthy, Helsley has an effective four-pitch mix led by a fastball that sits in the 93-97 range and will touch 100. Helsley doesn't have precise fastball command and throws a middling ratio of strikes, but he throws hard enough to get away with mistakes in the zone, and his ability to execute his breaking balls -- the slider down and to his glove side, the curveball in the bottom of the zone or beneath it -- gives him a pretty good chance to start. There are clubs that have Helsley evaluated as a reliever either because of the lack of fastball command or due to perceptions about his deilvery and health. If not for uncertainty surrounding his injury, he'd be right behind Hudson on this list as a near-ready mid-rotation arm or dominant 70-80 inning reliever. "," ","18138"
"Mario Feliciano","MIL","C","AA",,7,,"40+",2022,"High","21.5583333","6' 1""","200","R","R","2016 Draft Rnd 2 (MIL)","Beltran Academy HS (PR)","Feliciano had a totally lost 2018 due to various nagging injuries. He was limited to just 42 games at Hi-A, and two in the Fall League. While at Hi-A Carolina, he struck out in 36% of his plate appearances. Feliciano also has one of the higher ceilings in this system. He turned 20 shortly before this list went to press, so his inabiltiy to perform as an 18-year-old in full-season ball in 2017 and a 19-year-old at Hi-A in 2018 is less troublesome due to his age. When healthy, Feliciano has shown bat control and above-average power on contact. If he can develop defensively (a process which has, thus far, been slow due to the reps lost to injury), Feliciano will be a catcher with a complete offensive profile, and a potential star. Teenage catching prospects are notoriously volatile and often, a decline in physical tools and/or stagnant defensive development starts with chronic injury. Feliciano's 2018 is what the start of past catching bust narravites look like. This is a very talented, volatile prospect who could be at or near the top of this list next year or be off it in two. ","D6SDMu7h_Q","sa917954"
"Kris Bubic","KCR","LHP","A+",,9,,"40+",2021,"Med","22.8111111","6' 3""","220","L","L","2018 Draft Rnd 1 (KCR)","Stanford","A dominant junior year would have had Bubic in the late first round mix, but his control backed up, especially late in the year. Though he only throws 87-91, his fastball plays well in the zone as his delivery (which is similar to Clayton Kershaw's) creates tough angle on the pitch. Bubic's best pitch is his changeup and it's most effective when he's gotten ahead of hitters, which he often did not last year. When he's throwing strikes, Bubic looks like a solid No. 4/5 big league starter. He began the year at Low-A Lexington, and seems a likely mid-year promotion candidate if he pitches well there.","1rpGvmAv8vM","sa3008128"
"Kyle Isbel","KCR","RF","A+",,10,,"40+",2021,"Med","23.2722222","5' 11""","190","L","R","2018 Draft Rnd 2 (KCR)","UNLV","Isbel hit .319 and .290 as a freshman and sophomore, respectively, and then grew into a new grade of power in his junior year while maintaining his contact skills and taking advantage of pitchers' newfound hesitance to attack him in the zone. None of his tools are especially loud, but Isbel does several things fairly well and he has a slight chance to play a passable big league center field. If he moves to a corner, he might need a plus bat to profile, but that seems possible given how good his feel to hit was as an amateur. He could be a well-rounded everyday outfielder even without a plus tool.","sigx6-kC_Bg","sa3006861"
"Brenan Hanifee","BAL","RHP","A+",,10,,"40+",2021,"High","22.0333333","6' 5""","180","R","R","2016 Draft Rnd 4 (BAL)","Ashby HS (VA)","Baltimore had originally planned on taking Hanifee, who grew up an Orioles fan, in the third round of the 2016 draft but instead took the surprisingly available Austin Hays. Hanifee was still on the board the next time Baltimore was on the clock and he signed for $500,000. A terrific on-mound athlete built like an NFL quarterback, Hanifee relies heavily on a sinking mid-90s fastball. The rest of his profile is pretty raw. He doesn't have great natural feel for spin, and it probably behooves him and the Orioles to focus on changeup development if his mediocre strikeout rate is going to climb. But the sinker, and high-volume strike throwing ability, provide the foundation for an innings-eating backend starter at the least, and you can feel free to project heavily on much of the rest of Hanifee's profile because of his prototypical frame and athleticism, though it's becoming more evident that spin isn't a teachable quality. There's risk Hanifee is forced into the bullpen due to the lack of repertoire depth, but if his velo ticks up in max-effort, single-innings stints, he could be dominant. He should be developed as a starter to get reps with the change and refine the fastball command.",,"sa917973"
"Richard Lovelady","KCR","LHP","MLB",,11,,"40+",2019,"Med","24.9277777","6' 0""","175","L","L","2016 Draft Rnd 10 (KCR)","Kennesaw State","Surface-level evaluations of Lovelady's stuff show two above-average pitches in a mid-90s fastball and long-arcing slider, but those grow into true plus offerings once you factor in some of his mechanical traits. His lower arm slot, a release point approaching Josh Hader's unique spot, creates very odd angle on his stuff. It's especially tough on lefties, who have a .224 OBP against Lovelady each of the  last two years. Lovelady also has better command, especially breaking ball command, than most relievers. He'll be able to get swings and misses from righties by way of back foot sliders, and he can beat them in the zone with his heater. 
We put 40 FVs on two-pitch, upper-level relievers like this, but the seemingly significant impact of Lovelady's delivery combined with what looks like will be multi-inning usage, gives Lovelady a chance to be one of the more valuable relievers in baseball.",,"19337"
"Adam Hall","BAL","SS","A",,11,,"40+",2022,"High","21.0527777","6' 0""","170","R","R","2017 Draft Rnd 2 (BAL)","Lucas HS (CAN)","Hall left his family in Bermuda at age 12 to pursue high-level baseball in Canada. As an amateur prospect, he was on the radar pretty early; the Canadian Junior National Team plays a strong schedule that includes a spring training tilt against the Blue Jays, so they typically travel with their top underclassmen. Hall was a middle-round prospect for most scouts, who saw him as more of a second baseman and questioned his ability to hit, but still liked the plus speed and average raw power. Enthusiasts rounded up on the hitting skills because of his cold weather background. Baltimore popped Hall in the second round in 2017, but he didn't play an extended run of regular season professional games until the summer of 2018. 
Sources tell us he was excellent in the lightly-scouted extended spring training camp early in 2018, then struggled early in the New York-Penn League season as he had a red light on stealing bases in hitter's counts. Later in that season, we're told that Hall ignored that directive; he swiped 15 bases in August alone, then had a strong instructional league showing. Other clubs noticed and hoped they could snatch him in a minor trade during Baltimore's regime change. He now looks more like a viable shortstop. He's bigger and stronger, with a better sense of the strike zone and what kind of swing and approach works for him. We've moved him up pretty aggressively as there's a story to his improvement that makes sense and he's from a demographic that's usually later to peak.","b7BJaxtFhpc","sa3005077"
"Brent Rooker","MIN","1B","R",,9,,"40+",2019,"High","25.6111111","6' 3""","215","R","R","2017 Draft Rnd 1 (MIN)","Mississippi State","As a draft-eligible redshirt sophomore, Rooker hit .324/.376/.528 with 11 homers at Mississippi State. The Twins drafted him in the 38th round. He didn't sign, returned to school, hit .287/.496/.810, with 23 homers, stole 18 bases, and was drafted 35th overall. Nobody was totally sure what to make of such remarkable improvement, and Rooker lives in the dreaded right/right 1B/DH bucket for most evaluators, but he had among the best raw power in his draft class and emphatically torched the best conference in college baseball. 
Since entering pro ball, Rooker has performed and moved quickly, slugging 22 homers at Double-A in his first full pro season. His breaking ball recognition is questionable, and may be exposed more this year at Triple-A Rochester. The swing and miss issues combined with the defensive limitations are a bit of a problem, but Rooker has more power and is more athletic than most other hitters of this statistical ilk (like the Trey Mancinis and C.J. Crons of the world), so we like his chances of being a major league contributor fairly soon. We just doubt that he's an average or better everyday first baseman, and instead think he's a corner platoon bat.",,"sa3003172"
"Ryan Jeffers","MIN","C","AA",,10,,"40+",2021,"Med","23.2638888","6' 4""","225","R","R","2018 Draft Rnd 2 (MIN)","UNC Wilmington","Jeffers emerged from relative obscurity in 2018 at UNC Wilmington to climb into the first day of the draft with a strong spring. He has 55 raw power and arm strength, carrying tools that allow him to punish mistakes at the plate and throw out runners from behind it. His receiving skills will be a 45 or 50, so he likely can stick at catcher while his contact skills are a notch below that. Jeffers has a strength-based, power-focused swing, and catchers will often lose some athleticism more quickly than guys at other positions, so we don't see him contributing a big batting average or on-base percentage, but there is low-end regular upside.",,"sa3007051"
"Willians Astudillo","MIN","1B","MLB",,11,,"40+",2019,"Med","28.6583333","5' 9""","225","R","R","2008 J2 (PHI)","Venezuela","Yes, Astudillo is still rookie-eligible even though he's been part of the internet baseball zeitgeist for so long, the face of a movement that enjoys a certain of baseball's many aesthetics. For our purposes, Astudillo forces us to consider how we define the hit tool without letting other skills bleed in, which leads us to all kinds of existential questions about traditional tool classifications. Eventually, your tools just are what your performance is, and Astudillo has accumulated about a month's worth of freakish data that's impossible to ignore. He has been, and this is true of his entire pro career, an elite K% (3%) and in-zone contact rate (96%) hitter, and were we to make a hierarchy of individual stats that indicate ability to hit, those would be at the top. 
This thinking can be considered flawed. Jose Iglesias has had plus-plus contact rates throughout his career, but hits just .265 because he lacks strength. That's a lack of power bleeding in to how the hit tool plays, but in his case we'd say the hit tool is still good. You could argue that, similar to power, we should have Raw Hit and Game Hit split into two tools. In that vein, Astudillo is again exemplary in the way his tools/skills interact, as his game power plays beneath his raw, because he can't help himself but swing so damn much, and often the contact is sub-optimal. The Fat Ichiro moniker was bestowed upon Brett Wallace too soon; this is the genuine article. 
Correctly dubbed ""positionless"" as a young prospect, Astudillo has ended up a passable glove at several of the places minor league managers tried to hide him in his early 20s. Minnesota has played him all over the field -- catcher, first base, second base, third base, left field -- and he's okay everywhere. He had average catcher pop times in the big leagues last year. The ""role"" to expect here is that of a versatile corner bench bat. It's just the strangest version of that, a husky super utility man, with maybe the best hand-eye coordination on the planet.",,"15608"
"Luis Arraez","MIN","2B","MLB",,12,,"40+",2019,"Med","23.1722222","5' 10""","155","L","R","2013 J2 (MIN)","Venezuela","Back from a 2017 ACL tear, Arraez hit for characteristically high rates of contact in 2018. He's a career .328 hitter in the minors and has carried high averages to the upper levels, as he now has about half a season of Double-A at-bats under his belt. The type of contact Arraez makes is unique. He employs a punchy, minimalist swing, and just kind of throws the bat head at the baseball, leading to lots of opposite field contact. It's worked so far, and Arraez has hit for enough contact to outweigh the total lack of game power that results from this kind of approach. It's unlikely that this is an Altuven situation where all of a sudden there's power, because Altuve was pulling the ball in the minors. 
Mostly because his actions are quite good, Arraez fits fine at second base. He's a thicker guy and has begun to see more time at other positions (mostly other infield spots), and versatility will enable a team to roster Arraez even if the lack of power turns out to be a problem. He likely projects as a bat-first utility guy, but there's a chance he makes sufficient contact to be a regular at second.","QE0DfUeREl0","18568"
"Antoni Flores","BOS","SS","A-",,4,,"40+",2023,"High","19.6583333","6' 1""","190","R","R","2017 J2 (BOS)","Venezuela","Flores, who received the second highest bonus in the Red Sox 2017 international class at $1.4 million -- just behind Danny Diaz's $1.6 million -- was the buzz of the Southwest Florida instructional league and has exciting potential. After dominating the DSL during the summer, Flores got a late call-up and played two games in the GCL before his summer was shortened by a minor injury. He reminds some scouts of a potential everyday shortstop who takes a few games to grow on you. Unlike many high-bonus, July 2nd prospects, Flores doesn't have loud, flashy tools, or exceptional twitch or physical projection. He's more of the steady, low-key type of player with excellent feel for defense (common among prospects from Venezuela, where there's more of a game-focused development) and high-quality contact. He projects to be an above-average bat with average raw power, and the swing attributes to have a chance to get to most of it. Deceptively quick for his size, Flores has average speed and the defensive instincts to cover more ground than his raw foot speed indicates, as well as a plus arm. There's a chance Flores outgrows shortstop, but he'd likely be at least above-average, if not plus, at third base in that event. It may be a card full of 5's (except for arm strength) on the 2-8 scale, with very little pro experience, but scouts are excited about what little they've seen here and think he could be a first division regular if the bat develops enough.","md2-SgDDngQ","sa3005489"
